m_value,M_value,L_value,g_value,d_value,b_value,theta_cmd,theta_0,thetadot_cmd,theta_dot_0,F_value,t0
0,0,0,0,0,0,0,0.109978,0,-0.103174,-0.497249,2.502503
0,0,0,0,0,0,0,0.10895,0,-0.10223,-0.492585,2.512513
0,0,0,0,0,0,0,0.107932,0,-0.101295,-0.487965,2.522523
0,0,0,0,0,0,0,0.106922,0,-0.100368,-0.483387,2.532533
0,0,0,0,0,0,0,0.105922,0,-0.099449,-0.478851,2.542543
0,0,0,0,0,0,0,0.104931,0,-0.098539,-0.474356,2.552553
0,0,0,0,0,0,0,0.10395,0,-0.097637,-0.469903,2.562563
0,0,0,0,0,0,0,0.102977,0,-0.096743,-0.46549,2.572573
0,0,0,0,0,0,0,0.102013,0,-0.095857,-0.461119,2.582583
0,0,0,0,0,0,0,0.101058,0,-0.094979,-0.456787,2.592593
0,0,0,0,0,0,0,0.100111,0,-0.09411,-0.452495,2.602603
0,0,0,0,0,0,0,0.099174,0,-0.093247,-0.448243,2.612613
0,0,0,0,0,0,0,0.098244,0,-0.092393,-0.444029,2.622623
0,0,0,0,0,0,0,0.097324,0,-0.091547,-0.439855,2.632633
0,0,0,0,0,0,0,0.096412,0,-0.090708,-0.435719,2.642643
0,0,0,0,0,0,0,0.095508,0,-0.089876,-0.43162,2.652653
0,0,0,0,0,0,0,0.094612,0,-0.089052,-0.42756,2.662663
0,0,0,0,0,0,0,0.093725,0,-0.088236,-0.423537,2.672673
0,0,0,0,0,0,0,0.092846,0,-0.087427,-0.41955,2.682683
0,0,0,0,0,0,0,0.091975,0,-0.086625,-0.415601,2.692693
0,0,0,0,0,0,0,0.091111,0,-0.085831,-0.411688,2.702703
0,0,0,0,0,0,0,0.090256,0,-0.085043,-0.40781,2.712713
0,0,0,0,0,0,0,0.089409,0,-0.084263,-0.403969,2.722723
0,0,0,0,0,0,0,0.088569,0,-0.08349,-0.400163,2.732733
0,0,0,0,0,0,0,0.087737,0,-0.082724,-0.396392,2.742743
0,0,0,0,0,0,0,0.086913,0,-0.081965,-0.392655,2.752753
0,0,0,0,0,0,0,0.086096,0,-0.081212,-0.388953,2.762763
0,0,0,0,0,0,0,0.085287,0,-0.080467,-0.385285,2.772773
0,0,0,0,0,0,0,0.084485,0,-0.079728,-0.381651,2.782783
0,0,0,0,0,0,0,0.083691,0,-0.078996,-0.37805,2.792793
0,0,0,0,0,0,0,0.082904,0,-0.07827,-0.374483,2.802803
0,0,0,0,0,0,0,0.082124,0,-0.077551,-0.370948,2.812813
0,0,0,0,0,0,0,0.081351,0,-0.076839,-0.367446,2.822823
0,0,0,0,0,0,0,0.080586,0,-0.076133,-0.363976,2.832833
0,0,0,0,0,0,0,0.079827,0,-0.075433,-0.360538,2.842843
0,0,0,0,0,0,0,0.079076,0,-0.07474,-0.357132,2.852853
0,0,0,0,0,0,0,0.078331,0,-0.074053,-0.353757,2.862863
0,0,0,0,0,0,0,0.077593,0,-0.073372,-0.350413,2.872873
0,0,0,0,0,0,0,0.076862,0,-0.072698,-0.3471,2.882883
0,0,0,0,0,0,0,0.076138,0,-0.072029,-0.343818,2.892893
0,0,0,0,0,0,0,0.07542,0,-0.071367,-0.340566,2.902903
0,0,0,0,0,0,0,0.074709,0,-0.07071,-0.337344,2.912913
0,0,0,0,0,0,0,0.074004,0,-0.07006,-0.334151,2.922923
0,0,0,0,0,0,0,0.073306,0,-0.069415,-0.330988,2.932933
